人均GDP,GDP（亿元）,记录数,二氧化硫排放量(吨),人口（万人）,年份 (分省年度数据人口_1.csv),氮氧化物排放量（吨）,烟(粉)尘排放量(吨),省份 (分省年度数据人口_1.csv),记录数 (分省年度数据人口_1.csv)
7,59753.37,1,941679.05,7939,2013,1338040.44,499960.61,江苏省,1
6,37756.59,1,593363.79,5498,2013,752976.23,319745.93,浙江省,1
3,19229.34,1,501349.13,6030,2013,863668.62,418617.27,安徽省,1
5,21868.49,1,361003.48,3774,2013,438344.09,259363.41,福建省,1
3,14410.19,1,557703.6,4522,2013,570408.06,356271.27,江西省,1
5,55230.32,1,1644967.09,9733,2013,1651327.58,696725.61,山东省,1
3,32191.3,1,1253983.82,9413,2013,1565643.4,641273.14,河南省,1
4,24791.83,1,599352.87,5799,2013,612392.26,359524.92,湖北省,1
3,24621.67,1,641321.04,6691,2013,588160.68,358671.3,湖南省,1
5,62474.79,1,761896.06,10644,2013,1204239.38,353967.54,广东省,1
3,14449.9,1,471986.8,4719,2013,504306.91,289473.82,广西壮族自治区,1
3,3177.56,1,32414.15,895,2013,100248.59,18003.18,海南省,1
4,12783.26,1,547686.06,2970,2013,362042.51,191204.48,重庆市,1
3,26392.07,1,816706.01,8107,2013,624313.95,296004.85,四川省,1
2,8086.86,1,986423.12,3502,2013,557292.49,301301.56,贵州省,1
2,11832.31,1,663091.24,4687,2013,523672.47,386895.16,云南省,1
2,815.67,1,4191.66,312,2013,44327.6,6750.75,西藏自治区,1
4,16205.45,1,806152.32,3764,2013,758897.78,537738.57,陕西省,1
2,6330.69,1,561980.82,2582,2013,442925.65,226573.72,甘肃省,1
3,2122.06,1,156694,578,2013,132256.1,173762.04,青海省,1
3,2577.57,1,389712.3,654,2013,437439.67,230619.65,宁夏回族自治区,1
3,8443.84,1,829431.08,2264,2013,886926.57,755909.37,新疆维吾尔自治区,1
9,21330.83,1,78906.03,2152,2014,150955.14,57372.45,北京市,1
10,15726.93,1,209200,1517,2014,282300,139511.47,天津市,1
3,29421.15,1,1189902.56,7384,2014,1512468.92,1797683.42,河北省,1
3,12761.49,1,1208225.28,3648,2014,1069859.77,1506778.02,山西省,1
7,17770.19,1,1312436.37,2505,2014,1258281.03,1021510.38,内蒙古自治区,1
6,28626.58,1,994597.4,4391,2014,901964.07,1120701.44,辽宁省,1
5,13803.14,1,372256,2752,2014,549246.84,475132.99,吉林省,1
3,15039.38,1,472248.4,3833,2014,730584.86,793548.57,黑龙江省,1
9,23567.7,1,188149.16,2426,2014,332790.47,141650.1,上海市,1
8,65088.32,1,904740.62,7960,2014,1232552.49,763678.35,江苏省,1
7,40173.03,1,574012.17,5508,2014,687850.05,379666.45,浙江省,1
3,20848.75,1,492965.67,6083,2014,807304.79,652781.96,安徽省,1
6,24055.76,1,355957.2,3806,2014,411661.5,367902.63,福建省,1
3,15714.63,1,534414.92,4542,2014,540114.93,462330.57,江西省,1
6,59426.59,1,1590236.96,9789,2014,1593310.72,1208102.46,山东省,1
3,34938.24,1,1198182.07,9436,2014,1422013.46,882102.59,河南省,1
4,27379.22,1,583759.24,5816,2014,580221.62,504006.07,湖北省,1
4,27037.32,1,623688.6,6737,2014,552773.06,496165.87,湖南省,1
6,67809.85,1,730146.58,10724,2014,1122111.74,449548.89,广东省,1
3,15672.89,1,466588.74,4754,2014,442398.76,402934.62,广西壮族自治区,1
3,3500.72,1,32563.91,903,2014,95001.9,23171.24,海南省,1
4,14262.6,1,526944.28,2991,2014,355017.97,226130.56,重庆市,1
3,28536.66,1,796401.53,8140,2014,585438.61,428629.91,四川省,1
2,9266.39,1,925787.1,3508,2014,491070.7,377856.14,贵州省,1
2,12814.59,1,636683.23,4714,2014,498879.94,366818.71,云南省,1
2,920.83,1,4249.87,318,2014,48343.52,13889.88,西藏自治区,1
4,17689.94,1,780954.38,3775,2014,705755.99,709137.44,陕西省,1
2,6836.82,1,575648.72,2591,2014,418399.8,345810.85,甘肃省,1
3,2303.32,1,154276,583,2014,134518.07,239866.81,青海省,1
4,2752.1,1,377055.54,662,2014,404032.35,239170.83,宁夏回族自治区,1
4,9273.46,1,852981.33,2298,2014,862792.27,813915.92,新疆维吾尔自治区,1
10,23014.59,1,71171.67,2171,2015,137627.14,49386.55,北京市,1
10,16538.19,1,185900.43,1547,2015,246800.02,100685.72,天津市,1
4,29806.11,1,1108370.93,7425,2015,1350808.34,1575417.12,河北省,1
3,12766.49,1,1120643.18,3664,2015,930750.79,1448903.7,山西省,1
7,17831.51,1,1230945.68,2511,2015,1139013.23,878752.73,内蒙古自治区,1
6,28669.02,1,968766.93,4382,2015,828123.64,1000038.37,辽宁省,1
5,14063.13,1,362928,2753,2015,501664,447329.49,吉林省,1
3,15083.67,1,456331.21,3812,2015,644811.4,644064.47,黑龙江省,1
10,25123.45,1,170843.52,2415,2015,300621.06,120668.29,上海市,1
8,70116.38,1,835058.81,7976,2015,1067642.49,654500.71,江苏省,1
7,42886.49,1,537826.34,5539,2015,607699.72,330248.84,浙江省,1
3,22005.63,1,480072.79,6144,2015,721008.59,545916.71,安徽省,1
6,25979.82,1,337881.74,3839,2015,379021.84,341663.62,福建省,1
3,16723.78,1,528064.92,4566,2015,492693.36,480624.27,江西省,1
6,63002.33,1,1525670.1,9847,2015,1423884.03,1082461.03,山东省,1
3,37002.16,1,1144252.03,9480,2015,1262371.87,846125.01,河南省,1
5,29550.19,1,551358,5852,2015,514460.61,446974,湖北省,1
4,28902.21,1,595473.42,6783,2015,496928.11,454499.38,湖南省,1
6,72812.55,1,678341.35,10849,2015,996899.19,347785.72,广东省,1
3,16803.12,1,421198.7,4796,2015,373435.2,355865.28,广西壮族自治区,1
4,3702.76,1,32300.06,911,2015,89518.24,20400,海南省,1
5,15717.27,1,495801.96,3017,2015,320717.13,209078.14,重庆市,1
3,30053.1,1,717584.45,8204,2015,525880.33,412571.66,四川省,1
2,10502.56,1,852964.5,3530,2015,419137.2,285588.72,贵州省,1
2,13619.17,1,583739.22,4742,2015,449365.61,312563.29,云南省,1
3,1026.39,1,5373.02,324,2015,52727.45,17084.92,西藏自治区,1
4,18021.86,1,735017.21,3793,2015,627366.16,603648.92,陕西省,1
2,6790.32,1,570621.39,2600,2015,387271.54,295439.86,甘肃省,1
4,2417.05,1,150766,588,2015,117855,246020.04,青海省,1
4,2911.77,1,357596.19,668,2015,367633.87,229909.47,宁夏回族自治区,1
3,9324.8,1,778330.32,2360,2015,736504.76,595916.68,新疆维吾尔自治区,1
